e4-2-u4m0s0	꺾은선그래프 > 꺾은선그래프 > 꺾은선그래프 알아보기	꺾은선그래프 알아보기 | 물결선을 사용한 꺾은선그래프 알아보기 | 막대그래프와 꺾은선그래프의 비교
e4-2-u4m0s1	꺾은선그래프 > 꺾은선그래프 > 꺾은선그래프의 내용 알아보기	꺾은선그래프의 내용 알아보기 | 물결선을 사용한 꺾은선그래프의 내용 알아보기
e4-2-u4m0s2	꺾은선그래프 > 꺾은선그래프 > 꺾은선그래프로 나타내기	꺾은선그래프 그리기 | 눈금 한 칸의 크기를 바꾸어 나타내기
e4-2-u4m0s3	꺾은선그래프 > 꺾은선그래프 > 자료를 조사하여 꺾은선그래프로 나타내기	자료를 꺾은선그래프로 나타내기
e4-2-u4m0s4	꺾은선그래프 > 꺾은선그래프 > 꺾은선그래프의 실생활 활용	꺾은선그래프를 보고 변화 해석하기 | 일정하게 변하는 꺾은선그래프 | 여러 개의 꺾은선그래프 비교하기/해석하기 | 두 자료를 나타낸 꺾은선그래프
e4-2-u5m0s0	다각형 > 다각형과 정다각형 > 다각형	다각형 알아보기 | 다각형의 이름 알아보기 | 다각형 그리기/만들기 | 다각형의 구성요소의 개수 알아보기 | 다각형의 각의 크기 응용하기
e4-2-u5m0s1	다각형 > 다각형과 정다각형 > 정다각형	정다각형 알아보기 | 정다각형의 이름 알아보기 | 정다각형 그리기/만들기 | 정다각형의 구성요소의 수 알아보기 | 정다각형의 변의 길이와 각의 크기 알아보기 | 정다각형의 변의 길이/길이의 합 응용하기 | 정다각형의 각의 크기 응용하기
e4-2-u5m1s0	다각형 > 대각선 > 대각선	대각선 알아보기 | 대각선의 수 구하기 | 대각선 응용하기 | 여러 가지 사각형에서 대각선의 성질 알아보기 | 여러 가지 사각형에서 대각선의 성질 이용하기 | 여러 가지 사각형에서 대각선의 성질 응용하여 각도/길이 구하기
e4-2-u5m2s0	다각형 > 모양 꾸미기 > 모양 만들기	여러 가지 모양 만들기
e4-2-u5m2s1	다각형 > 모양 꾸미기 > 모양 채우기	여러 가지 모양 채우기 | 모양 조각으로 채운 모양 알아보기
